"filename", "language", "JSON", "Python", "Properties", "JavaScript", "pip requirements", "comment", "blank", "total"
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\flaskapp\.env", "Properties", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\flaskapp\app.py", "Python", 0, 29, 0, 0, 0, 1, 6, 36
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\flaskapp\logic.py", "Python", 0, 96, 0, 0, 0, 7, 18, 121
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\flaskapp\models.py", "Python", 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\flaskapp\requirements.txt", "pip requirements", 0, 0, 0, 0, 49, 0, 0, 49
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\.env", "Properties", 0, 0, 9, 0, 0, 1, 2, 12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\config\cloudinary.js", "JavaScript", 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\config\db.js", "JavaScript", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\config\multer.js", "JavaScript", 0, 0, 0, 17, 0, 1, 4, 22
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\adminController.js", "JavaScript", 0, 0, 0, 122, 0, 1, 34, 157
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\authController.js", "JavaScript", 0, 0, 0, 46, 0, 8, 19, 73
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\bikeController.js", "JavaScript", 0, 0, 0, 202, 0, 14, 52, 268
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\paymentController.js", "JavaScript", 0, 0, 0, 144, 0, 8, 37, 189
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\rentalControllers.js", "JavaScript", 0, 0, 0, 279, 0, 45, 53, 377
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\reviewController.js", "JavaScript", 0, 0, 0, 117, 0, 2, 33, 152
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\controllers\userControllers.js", "JavaScript", 0, 0, 0, 142, 0, 2, 35, 179
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\index.js", "JavaScript", 0, 0, 0, 16, 0, 3, 6, 25
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\models\Bike.js", "JavaScript", 0, 0, 0, 55, 0, 0, 5, 60
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\models\Payment.js", "JavaScript", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\models\Rental.js", "JavaScript", 0, 0, 0, 28, 0, 2, 6, 36
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\models\Review.js", "JavaScript", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\models\User.js", "JavaScript", 0, 0, 0, 32, 0, 0, 2, 34
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\package-lock.json", "JSON", 1609, 0, 0, 0, 0, 0, 1, 1610
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\package.json", "JSON", 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\adminRoutes.js", "JavaScript", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\authRoutes.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\bikeRoutes.js", "JavaScript", 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\indexRoutes.js", "JavaScript", 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\paymentRoutes.js", "JavaScript", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\rentalRoutes.js", "JavaScript", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\reviewRoutes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\userRoutes.js", "JavaScript", 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 1646, 135, 11, 1353, 49, 95, 364, 3653
